
Date,Open,High,Low,Close,Volume
10/21/2019 9:30,237.52,238.25,237.32,238.23,603500
10/21/2019 9:31,238.21,238.40,238.07,238.24,178580
10/21/2019 9:32,238.23,238.28,237.89,237.91,101871
10/21/2019 9:33,237.94,238.55,237.94,238.50,128501
10/21/2019 9:34,238.48,238.54,238.23,238.53,119053
10/21/2019 9:35,238.53,239.03,238.41,239.00,231418
10/21/2019 9:36,239.02,239.36,238.96,239.26,203998
10/21/2019 9:37,239.28,239.47,239.13,239.40,141990
10/21/2019 9:38,239.40,239.45,239.25,239.29,86827
10/21/2019 9:39,239.31,239.42,239.23,239.31,95669
10/21/2019 9:40,239.31,239.67,239.21,239.65,156242
10/21/2019 9:41,239.67,239.78,239.56,239.74,152341
10/21/2019 9:42,239.75,239.94,239.75,239.93,141426
10/21/2019 9:43,239.93,239.97,239.85,239.86,96129
10/21/2019 9:44,239.85,240.00,239.83,239.96,168616
10/21/2019 9:45,239.95,240.00,239.89,239.92,129306
10/21/2019 9:46,239.93,239.94,239.53,239.56,171436
10/21/2019 9:47,239.59,239.62,239.36,239.37,125784
10/21/2019 9:48,239.36,239.50,239.34,239.45,63633
10/21/2019 9:49,239.47,239.50,239.24,239.29,96531
10/21/2019 9:50,239.29,239.52,239.29,239.45,79652
10/21/2019 9:51,239.46,239.49,239.31,239.36,52510
10/21/2019 9:52,239.37,239.38,239.06,239.10,88969
10/21/2019 9:53,239.10,239.18,238.99,239.13,77232
10/21/2019 9:54,239.14,239.18,239.09,239.12,61811
10/21/2019 9:55,239.16,239.20,239.07,239.19,77069
10/21/2019 9:56,239.18,239.43,239.18,239.42,91101
10/21/2019 9:57,239.43,239.64,239.43,239.55,145653
10/21/2019 9:58,239.55,239.62,239.46,239.53,69144
10/21/2019 9:59,239.55,239.80,239.54,239.68,95806
10/21/2019 10:00,239.68,239.86,239.68,239.80,74369
10/21/2019 10:01,239.82,239.91,239.78,239.87,98138
10/21/2019 10:02,239.87,239.91,239.77,239.81,38706
10/21/2019 10:03,239.82,239.86,239.70,239.84,58750
10/21/2019 10:04,239.83,239.96,239.60,239.67,115571
10/21/2019 10:05,239.66,239.71,239.40,239.40,57592
10/21/2019 10:06,239.41,239.42,239.10,239.28,95352
10/21/2019 10:07,239.25,239.55,239.24,239.55,63075
10/21/2019 10:08,239.54,239.68,239.46,239.46,55476
10/21/2019 10:09,239.45,239.53,239.43,239.47,29214
10/21/2019 10:10,239.47,239.56,239.35,239.55,32720
10/21/2019 10:11,239.57,239.73,239.48,239.70,38313
10/21/2019 10:12,239.71,239.85,239.71,239.75,65958
10/21/2019 10:13,239.75,239.88,239.71,239.85,47395
10/21/2019 10:14,239.85,239.89,239.78,239.79,51380
10/21/2019 10:15,239.80,239.80,239.55,239.57,47963
10/21/2019 10:16,239.56,239.84,239.56,239.81,30119
10/21/2019 10:17,239.81,239.90,239.71,239.89,46829
10/21/2019 10:18,239.89,240.00,239.85,239.89,237294
10/21/2019 10:19,239.89,239.97,239.85,239.95,81972
10/21/2019 10:20,239.93,239.97,239.86,239.89,37155
10/21/2019 10:21,239.90,239.97,239.86,239.96,32652
10/21/2019 10:22,239.96,239.98,239.85,239.88,60068
10/21/2019 10:23,239.89,239.90,239.82,239.89,26590
10/21/2019 10:24,239.90,239.90,239.63,239.72,70384
10/21/2019 10:25,239.74,239.85,239.72,239.81,25345
10/21/2019 10:26,239.84,239.88,239.78,239.80,43902
10/21/2019 10:27,239.79,239.84,239.79,239.82,20899
10/21/2019 10:28,239.82,239.82,239.54,239.54,56659
10/21/2019 10:29,239.53,239.57,239.40,239.56,76384
10/21/2019 10:30,239.57,239.63,239.52,239.53,33874
10/21/2019 10:31,239.55,239.66,239.53,239.57,29197
10/21/2019 10:32,239.57,239.58,239.43,239.43,33397
10/21/2019 10:33,239.43,239.48,239.40,239.44,22300
10/21/2019 10:34,239.43,239.48,239.40,239.44,37334
10/21/2019 10:35,239.44,239.45,239.36,239.41,29768
10/21/2019 10:36,239.41,239.45,239.33,239.38,31902
10/21/2019 10:37,239.37,239.71,239.37,239.66,56324
10/21/2019 10:38,239.67,239.75,239.62,239.74,35776
10/21/2019 10:39,239.74,239.85,239.67,239.83,51998
10/21/2019 10:40,239.83,239.94,239.81,239.90,57005
