Date,Open,High,Low,Close,Volume
10/21/2019 9:30,154.17,154.47,154.17,154.42,312363
10/21/2019 9:31,154.42,154.61,154.41,154.61,171558
10/21/2019 9:32,154.61,154.74,154.58,154.62,140284
10/21/2019 9:33,154.63,154.68,154.43,154.43,148253
10/21/2019 9:34,154.43,154.46,154.24,154.42,146563
10/21/2019 9:35,154.43,154.57,154.39,154.57,123583
10/21/2019 9:36,154.56,154.80,154.56,154.73,110520
10/21/2019 9:37,154.78,154.78,154.68,154.72,60846
10/21/2019 9:38,154.70,154.83,154.70,154.73,49388
10/21/2019 9:39,154.72,154.90,154.70,154.90,104576
10/21/2019 9:40,154.91,154.98,154.84,154.98,94463
10/21/2019 9:41,154.97,154.98,154.80,154.88,79871
10/21/2019 9:42,154.88,154.91,154.73,154.81,42753
10/21/2019 9:43,154.80,154.84,154.75,154.78,175426
10/21/2019 9:44,154.76,154.78,154.66,154.67,346734
10/21/2019 9:45,154.67,154.73,154.63,154.63,78353
10/21/2019 9:46,154.62,154.62,154.54,154.55,52577
10/21/2019 9:47,154.54,154.54,154.40,154.41,69062
10/21/2019 9:48,154.40,154.48,154.38,154.42,99337
10/21/2019 9:49,154.41,154.51,154.33,154.33,60304
10/21/2019 9:50,154.34,154.46,154.34,154.43,56973
10/21/2019 9:51,154.43,154.51,154.42,154.49,16935
10/21/2019 9:52,154.50,154.60,154.50,154.60,41109
10/21/2019 9:53,154.60,154.68,154.54,154.59,38590
10/21/2019 9:54,154.60,154.67,154.56,154.58,19256
10/21/2019 9:55,154.61,154.62,154.51,154.54,61884
10/21/2019 9:56,154.54,154.58,154.51,154.52,15158
10/21/2019 9:57,154.52,154.53,154.39,154.39,26897
10/21/2019 9:58,154.38,154.38,154.27,154.29,40098
10/21/2019 9:59,154.28,154.40,154.28,154.40,50000
10/21/2019 10:00,154.38,154.53,154.38,154.46,64970
10/21/2019 10:01,154.46,154.57,154.46,154.53,30895
10/21/2019 10:02,154.53,154.54,154.34,154.35,69350
10/21/2019 10:03,154.38,154.38,154.19,154.19,33374
10/21/2019 10:04,154.17,154.24,154.16,154.22,36381
10/21/2019 10:05,154.22,154.23,154.12,154.14,71568
10/21/2019 10:06,154.14,154.15,154.01,154.04,74734
10/21/2019 10:07,154.05,154.26,154.01,154.26,68855
10/21/2019 10:08,154.26,154.32,154.22,154.25,43541
10/21/2019 10:09,154.24,154.26,154.18,154.20,45901
10/21/2019 10:10,154.22,154.23,154.10,154.14,62120
10/21/2019 10:11,154.14,154.17,154.07,154.11,29928
10/21/2019 10:12,154.12,154.14,154.08,154.12,22165
10/21/2019 10:13,154.12,154.12,154.06,154.09,31842
10/21/2019 10:14,154.09,154.09,154.02,154.06,17621
10/21/2019 10:15,154.05,154.05,153.91,153.97,25902
10/21/2019 10:16,153.97,154.00,153.93,153.96,32398
10/21/2019 10:17,153.95,153.99,153.92,153.96,143001
10/21/2019 10:18,153.97,154.08,153.95,154.06,51902
10/21/2019 10:19,154.07,154.10,154.06,154.08,75494
10/21/2019 10:20,154.09,154.10,154.03,154.09,41314
10/21/2019 10:21,154.10,154.22,154.10,154.22,50206
10/21/2019 10:22,154.22,154.28,154.19,154.24,72378
10/21/2019 10:23,154.27,154.29,154.25,154.29,10100
10/21/2019 10:24,154.30,154.31,154.23,154.26,22348
10/21/2019 10:25,154.26,154.27,154.21,154.26,28099
10/21/2019 10:26,154.25,154.30,154.24,154.29,24420
10/21/2019 10:27,154.28,154.31,154.26,154.31,16801
10/21/2019 10:28,154.31,154.34,154.25,154.27,30640
10/21/2019 10:29,154.26,154.33,154.26,154.33,14625
10/21/2019 10:30,154.33,154.33,154.18,154.22,23047
10/21/2019 10:31,154.21,154.21,154.12,154.14,59516
10/21/2019 10:32,154.15,154.32,154.15,154.32,59377
10/21/2019 10:33,154.32,154.40,154.32,154.40,49000
10/21/2019 10:34,154.39,154.39,154.34,154.35,13725
10/21/2019 10:35,154.35,154.41,154.33,154.36,25911
10/21/2019 10:36,154.36,154.37,154.26,154.35,21515
10/21/2019 10:37,154.35,154.47,154.35,154.40,25371
10/21/2019 10:38,154.39,154.47,154.38,154.44,12114
10/21/2019 10:39,154.44,154.49,154.42,154.49,17960
10/21/2019 10:40,154.50,154.56,154.46,154.47,29156
10/21/2019 10:41,154.49,154.56,154.45,154.50,55167
10/21/2019 10:42,154.49,154.50,154.43,154.45,11100
10/21/2019 10:43,154.44,154.52,154.44,154.51,5992
10/21/2019 10:44,154.52,154.57,154.47,154.50,17169
10/21/2019 10:45,154.49,154.57,154.45,154.51,22735
