Date,Open,High,Low,Close,Volume
10/21/2019 9:30,138.57,138.71,138.54,138.71,219733
10/21/2019 9:31,138.71,138.75,138.69,138.70,33915
10/21/2019 9:32,138.71,138.73,138.68,138.72,89106
10/21/2019 9:33,138.73,138.74,138.70,138.71,72138
10/21/2019 9:34,138.71,138.72,138.71,138.72,9730
10/21/2019 9:35,138.70,138.70,138.59,138.60,266543
10/21/2019 9:36,138.61,138.70,138.54,138.57,251508
10/21/2019 9:37,138.56,138.59,138.53,138.58,19626
10/21/2019 9:38,138.60,138.63,138.58,138.62,81403
10/21/2019 9:39,138.62,138.63,138.60,138.60,74833
10/21/2019 9:40,138.59,138.63,138.58,138.58,48539
10/21/2019 9:41,138.59,138.61,138.57,138.61,99454
10/21/2019 9:42,138.61,138.61,138.56,138.56,45990
10/21/2019 9:43,138.56,138.57,138.55,138.57,141519
10/21/2019 9:44,138.57,138.59,138.56,138.58,16115
10/21/2019 9:45,138.57,138.57,138.51,138.54,28923
10/21/2019 9:46,138.54,138.56,138.52,138.55,8872
10/21/2019 9:47,138.55,138.55,138.53,138.55,6855
10/21/2019 9:48,138.54,138.58,138.53,138.54,10859
10/21/2019 9:49,138.54,138.55,138.51,138.53,35358
10/21/2019 9:50,138.53,138.54,138.51,138.54,32948
10/21/2019 9:51,138.53,138.56,138.52,138.56,6821
10/21/2019 9:52,138.55,138.55,138.52,138.55,10902
10/21/2019 9:53,138.53,138.53,138.50,138.53,7663
10/21/2019 9:54,138.55,138.57,138.53,138.57,8917
10/21/2019 9:55,138.56,138.58,138.56,138.57,5908
10/21/2019 9:56,138.56,138.65,138.56,138.65,16543
10/21/2019 9:57,138.65,138.70,138.63,138.70,31683
10/21/2019 9:58,138.70,138.77,138.70,138.74,14985
10/21/2019 9:59,138.74,138.81,138.73,138.80,12163
10/21/2019 10:00,138.81,138.82,138.78,138.81,13497
10/21/2019 10:01,138.80,138.81,138.78,138.79,16645
10/21/2019 10:02,138.79,138.83,138.78,138.81,68253
10/21/2019 10:03,138.81,138.84,138.81,138.84,14147
10/21/2019 10:04,138.85,138.89,138.84,138.85,43389
10/21/2019 10:05,138.86,138.88,138.84,138.87,6676
10/21/2019 10:06,138.87,138.91,138.87,138.91,23231
10/21/2019 10:07,138.91,138.92,138.82,138.82,26786
10/21/2019 10:08,138.82,138.85,138.80,138.85,9905
10/21/2019 10:09,138.85,138.87,138.84,138.87,15024
10/21/2019 10:10,138.88,138.90,138.86,138.86,9321
10/21/2019 10:11,138.87,138.88,138.87,138.87,3400
10/21/2019 10:12,138.88,138.92,138.85,138.91,18695
10/21/2019 10:13,138.91,138.91,138.89,138.91,12189
10/21/2019 10:14,138.90,138.91,138.88,138.91,11403
10/21/2019 10:15,138.91,138.91,138.89,138.89,4600
10/21/2019 10:16,138.89,138.93,138.89,138.93,4903
10/21/2019 10:17,138.94,138.97,138.93,138.96,15782
10/21/2019 10:18,138.96,138.99,138.94,138.94,31876
10/21/2019 10:19,138.94,138.95,138.93,138.94,18078
10/21/2019 10:20,138.95,138.95,138.94,138.94,4587
10/21/2019 10:21,138.94,138.94,138.85,138.86,45437
10/21/2019 10:22,138.87,138.87,138.84,138.86,38645
10/21/2019 10:23,138.86,138.86,138.83,138.84,6373
10/21/2019 10:24,138.84,138.87,138.84,138.87,7255
10/21/2019 10:25,138.87,138.91,138.86,138.89,8896
10/21/2019 10:26,138.88,138.88,138.84,138.86,2992
10/21/2019 10:27,138.86,138.86,138.85,138.85,1250
10/21/2019 10:28,138.86,138.86,138.85,138.86,1637
10/21/2019 10:29,138.85,138.86,138.83,138.83,7104
10/21/2019 10:30,138.84,138.86,138.83,138.86,3133
10/21/2019 10:31,138.86,138.86,138.82,138.82,3929
10/21/2019 10:32,138.83,138.84,138.80,138.83,7393
10/21/2019 10:33,138.84,138.85,138.82,138.83,11933
10/21/2019 10:34,138.82,138.83,138.81,138.82,5923
10/21/2019 10:35,138.83,138.83,138.79,138.82,9280
10/21/2019 10:36,138.82,138.90,138.82,138.88,12515
10/21/2019 10:37,138.87,138.90,138.87,138.89,7424
10/21/2019 10:38,138.89,138.89,138.84,138.84,7592
