Date,Open,High,Low,Close,Volume
4/28/2020 12:14,287.14,287.15,286.90,286.00,214032
4/28/2020 12:15,286.93,286.94,286.12,286.21,372102
4/28/2020 12:16,286.22,286.45,286.13,286.44,204292
4/28/2020 12:17,286.45,286.47,285.93,285.95,261348
4/28/2020 12:18,285.96,286.10,285.70,285.72,181887
4/28/2020 12:19,285.71,285.97,285.71,285.96,96780
4/28/2020 12:20,285.95,286.24,285.93,286.19,170326
4/28/2020 12:21,286.17,286.28,286.04,286.25,127433
4/28/2020 12:22,286.28,286.35,286.07,286.21,94093
4/28/2020 12:23,286.20,286.20,285.93,285.98,129074
4/28/2020 12:24,285.97,286.22,285.94,286.22,74512
4/28/2020 12:25,286.21,286.33,286.02,286.30,92010
4/28/2020 12:26,286.32,286.40,286.25,286.34,107848
4/28/2020 12:27,286.34,286.46,286.26,286.34,73287
4/28/2020 12:28,286.34,286.40,286.27,286.35,125149
4/28/2020 12:29,286.33,286.45,286.29,286.42,65162
4/28/2020 12:30,286.42,286.43,286.19,286.37,108849
4/28/2020 12:31,286.34,286.51,286.29,286.35,90201
4/28/2020 12:32,286.34,286.44,286.27,286.39,139084
4/28/2020 12:33,286.39,286.57,286.37,286.53,113025
4/28/2020 12:34,286.51,286.77,286.49,286.73,254387
4/28/2020 12:35,286.71,286.86,286.66,286.76,85762
4/28/2020 12:36,286.76,286.79,286.72,286.72,56074
4/28/2020 12:37,286.71,286.75,286.55,286.68,68202
4/28/2020 12:38,286.68,286.88,286.67,286.87,94417
4/28/2020 12:39,286.88,286.92,286.66,286.69,132535
4/28/2020 12:40,286.67,286.83,286.57,286.81,211018
4/28/2020 12:41,286.82,286.90,286.66,286.75,75648
4/28/2020 12:42,286.76,286.77,286.58,286.68,65351
4/28/2020 12:43,286.69,286.89,286.67,286.83,75703
4/28/2020 12:44,286.83,286.88,286.73,286.80,64845
4/28/2020 12:45,286.79,286.80,286.58,286.60,81120
4/28/2020 12:46,286.62,286.63,286.33,286.42,144400
4/28/2020 12:47,286.42,286.56,286.36,286.54,49300
4/28/2020 12:48,286.53,286.71,286.52,286.69,74226
4/28/2020 12:49,286.67,286.87,286.62,286.77,104333
4/28/2020 12:50,286.77,287.00,286.73,286.81,174869
4/28/2020 12:51,286.81,286.83,286.63,286.76,91297
4/28/2020 12:52,286.75,286.84,286.70,286.75,58869
4/28/2020 12:53,286.75,286.76,286.61,286.63,73881
4/28/2020 12:54,286.64,286.81,286.61,286.63,67063
4/28/2020 12:55,286.64,287.15,286.63,287.14,135736
4/28/2020 12:56,287.13,287.46,287.07,287.42,275753
4/28/2020 12:57,287.42,287.52,287.34,287.35,152724
4/28/2020 12:58,287.35,287.45,287.34,287.41,102457
4/28/2020 12:59,287.41,287.41,287.30,287.34,74724
4/28/2020 13:00,287.35,287.45,287.30,287.33,84965
